key,conference,id,title,program_title,authors,acceptance,themes,categories,quantity,method,caveat,matrix_scope,geometry,manifold_scope,relevance_notes,evidence,fulltext_sources,openreview_url,conference_url,proceedings_url,pdf_url,code_links,snapshot_date,training_scope,hyperparameters,training_finding,training_caveat,training_reading_rank
ICLR:10008183,ICLR 2026,10008183,Achieving low-bit Muon through subspace preservation and grid quantization,,Huaijin Wu; Bingrui Li; Yebin Yang; Yi Tu; Zhanpeng Zhou; Jianfei Chen; Junchi Yan,Accept (Poster),Optimizer,D: Memory-efficient and low-precision optimizers,,,,,,,Optimizer: 4-bit-Muon-GRASP compresses momentum using grid quantization while preserving the leading singular subspace; evaluated on LLaMA pretraining and 7B fine-tuning.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=g2l9bg9DWx,https://iclr.cc/virtual/2026/poster/10008183,,https://openreview.net/pdf?id=g2l9bg9DWx,https://github.com/wuhuaijin/lowbit-Muon,2026-09-23,,,,,0
ICLR:10011738,ICLR 2026,10011738,Adaptive gradient descent on Riemannian manifolds and its applications to Gaussian variational inference,,Jiyoung Park; Jaewook J. Suh; Bofan Wang; Anirban Bhattacharya; Shiqian Ma,Accept (Poster),Manifold,M1: General manifold algorithms and convergence theory,,,,,General Riemannian manifolds; Gaussian variational inference,Direct algorithm/theory/application,"Manifold: RAdaGD adapts step sizes without line search and proves convergence under local geodesic smoothness and generalized geodesic convexity, with additional assumptions for VI.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=2TTQjRkgFn,https://iclr.cc/virtual/2026/poster/10011738,,https://openreview.net/pdf?id=2TTQjRkgFn,,2026-09-23,,,,,0
ICLR:10008058,ICLR 2026,10008058,Adaptive Methods Are Preferable in High Privacy Settings: An SDE Perspective,,Enea Monzio Compagnoni; Alessandro Stanghellini; Rustem Islamov; Aurelien Lucchi; Anastasia Koloskova,Accept (Poster),Optimizer; Training dynamics,"I: Fine-tuning, LoRA, privacy, and specialized post-training; T1: Learning-rate selection, warm-up and schedules; T2: Batch size, gradient noise and training efficiency; T8: Optimizer dynamics, comparisons and diagnostics",,,,,,,Optimizer: SDE analysis compares private SGD and sign/adaptive methods under privacy noise and studies hyperparameter transfer across privacy levels. | Training dynamics: SDE analysis compares private SGD and sign/adaptive methods under privacy noise and studies hyperparameter transfer across privacy levels.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=hSpA4DAoMk,https://iclr.cc/virtual/2026/poster/10008058,,https://openreview.net/pdf?id=hSpA4DAoMk,,2026-09-23,General optimization,Privacy noise; adaptive updates; hyperparameter transfer,SDE analysis compares private SGD and sign/adaptive methods under privacy noise and studies hyperparameter transfer across privacy levels.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0
ICLR:10011207,ICLR 2026,10011207,ARMOR: High-Performance Semi-Structured Pruning via Adaptive Matrix Factorization,,Lawrence Liu; Alexander Liu; Mengdi Wang; Tuo Zhao; Lin Yang,Accept (Poster),Matrix computation,X6: Matrix and tensor methods for compression,Semi-structured sparse weight factors,Factor weights into a 2:4 sparse core with block-diagonal pre/post corrections; fit by block coordinate descent.,Guarantee compares proxy losses; downstream accuracy is empirical.,Deep learning,,,Matrix computation: Factor weights into a 2:4 sparse core with block-diagonal pre/post corrections; fit by block coordinate descent.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=8NE554wv0m,https://iclr.cc/virtual/2026/poster/10011207,,https://openreview.net/pdf?id=8NE554wv0m,,2026-09-23,,,,,0
ICLR:10011962,ICLR 2026,10011962,"ATLAS: Adaptive Transfer Scaling Laws for Multilingual Pretraining, Finetuning, and Decoding the Curse of Multilinguality",,Shayne Longpre; Sneha Kudugunta; Niklas Muennighoff; I-Hung Hsu; Isaac Caswell; Alex Pentland; Sercan Arik; Chen-Yu Lee; Sayna Ebrahimi,Accept (Poster),Training dynamics,"T4: Compute, data and model scaling laws",,,,,,,"Training dynamics: ATLAS models multilingual transfer and resource allocation, including when multilingual fine-tuning beats training from scratch.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=0BkvUY61MX,https://iclr.cc/virtual/2026/poster/10011962,,https://openreview.net/pdf?id=0BkvUY61MX,,2026-09-23,LLM training,Language mixture; model size; data size; pretrain/fine-tune allocation,"ATLAS models multilingual transfer and resource allocation, including when multilingual fine-tuning beats training from scratch.",Cross-language transfer is estimated empirically and varies by the evaluated languages and data.,0
ICLR:10006476,ICLR 2026,10006476,Avoid Catastrophic Forgetting with Rank-1 Fisher from Diffusion Models,,Zekun Wang; Anant Gupta; Zihan Dong; Christopher MacLellan,Accept (Poster),Matrix computation,"X3: Fisher, Hessian, derivatives and implicit differentiation",Dominant diffusion-model Fisher direction,Exploit nearly collinear low-SNR gradients to construct a rank-one Fisher penalty for continual learning.,Rank-one structure is regime-dependent; not a claim about all diffusion timesteps.,Deep learning,,,Matrix computation: Exploit nearly collinear low-SNR gradients to construct a rank-one Fisher penalty for continual learning.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=zCZcbRsc4g,https://iclr.cc/virtual/2026/poster/10006476,,https://openreview.net/pdf?id=zCZcbRsc4g,,2026-09-23,,,,,0
ICLR:10010697,ICLR 2026,10010697,Back to Square Roots: An Optimal Bound on the Matrix Factorization Error for Multi-Epoch Differentially Private SGD,,Nikita Kalinin; Ryan McKenna; Jalaj Upadhyay; Christoph Lampert,Accept (Poster),Matrix computation,"X1: Matrix functions, roots and matrix geometry",Correlated-noise matrix factorization for multi-epoch DP-SGD,Use a banded inverse square-root factorization with a tight asymptotic error characterization.,"Privacy mechanism factorization, rather than a general optimizer preconditioner.",Deep learning,,,Matrix computation: Use a banded inverse square-root factorization with a tight asymptotic error characterization.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=EEr6cADbZx,https://iclr.cc/virtual/2026/poster/10010697,,https://openreview.net/pdf?id=EEr6cADbZx,,2026-09-23,,,,,0
ICLR:10008176,ICLR 2026,10008176,Barriers for Learning in an Evolving World:  Mathematical Understanding of Loss of Plasticity,,Amir Joudaki; Giulia Lanzillotta; Mohammad Samragh; Iman Mirzadeh; Keivan Alizadeh-Vahid; Thomas Hofmann; Mehrdad Farajtabar; Fartash Faghri,Accept (Poster),Manifold; Optimizer,"H: Learning rates, batch sizes, parameterization, and plasticity; M5: Supporting geometry, statistics, and training-dynamics papers",,,,,Invariant submanifolds of parameter dynamics,Related/supporting,"Optimizer: Analyzes plasticity loss as gradient dynamics becoming trapped in invariant parameter manifolds and studies architectural interventions; supporting theory rather than a new LLM optimizer. | Manifold: Explains loss of plasticity through trapping near frozen- and cloned-unit manifolds. These are dynamical-system obstructions, not a prescribed feasible manifold.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=g6kof5fSba,https://iclr.cc/virtual/2026/poster/10008176,,https://openreview.net/pdf?id=g6kof5fSba,,2026-09-23,,,,,0
ICLR:10008904,ICLR 2026,10008904,Bayesian Influence Functions for Hessian-Free Data Attribution,,Philipp Alexander Kreer; Wilson Wu; Maxwell Adam; Zach Furman; Jesse Hoogland,Accept (Poster),Matrix computation; Optimizer,"A: KFAC / EKFAC methods, applications, and substantive evaluations; X3: Fisher, Hessian, derivatives and implicit differentiation",Data influence scores,Replace inverse-Hessian operations with loss-landscape statistics estimated by stochastic-gradient MCMC.,"A Bayesian influence construction, not an algebraically exact classical influence-function evaluation.",Deep learning,,,"Optimizer: EKFAC comparison: Bayesian influence functions replace inverse-Hessian computations with stochastic-gradient MCMC loss statistics and evaluate against EK-FAC. A Hessian-free alternative, not an EKFAC variant. | Matrix computation: Replace inverse-Hessian operations with loss-landscape statistics estimated by stochastic-gradient MCMC.",Official accepted-paper title and abstract; targeted full-text passage checked,"https://openreview.net/pdf?id=YEBpZVm70i — Section 4 and Figure 4, BIF versus EK-FAC retraining experiments; indexed accepted-paper full text. Targeted check recorded in the earlier project catalog; not a complete paper review.",https://openreview.net/forum?id=YEBpZVm70i,https://iclr.cc/virtual/2026/poster/10008904,,https://openreview.net/pdf?id=YEBpZVm70i,,2026-09-23,,,,,0
ICLR:10007569,ICLR 2026,10007569,Beyond Outliers: A Study of Optimizers Under Quantization,,Georgios Vlassis; Saleh Ashkboos; Alexandra Volkova; Torsten Hoefler; Dan Alistarh,Accept (Poster),Optimizer; Training dynamics,"D: Memory-efficient and low-precision optimizers; T4: Compute, data and model scaling laws; T7: Initialization, normalization, weight decay and regularization; T8: Optimizer dynamics, comparisons and diagnostics",,,,,,,Optimizer: Systematic study of how optimizer choice affects post-training quantization and quantization-aware training; compares six optimizers and analyzes quantization scaling. | Training dynamics: Systematic study of how optimizer choice affects post-training quantization and quantization-aware training; compares six optimizers and analyzes quantization scaling.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=mVldAuDAn5,https://iclr.cc/virtual/2026/poster/10007569,,https://openreview.net/pdf?id=mVldAuDAn5,,2026-09-23,LLM training,Optimizer choice; quantization; precision,Systematic study of how optimizer choice affects post-training quantization and quantization-aware training; compares six optimizers and analyzes quantization scaling.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0
ICLR:10009536,ICLR 2026,10009536,Boosting Multi-Domain Reasoning of LLMs via Curvature-Guided Policy Optimization,,Xize Liang; Lin Yang; Jie Wang; Rui Liu; Yang Lu; Jinliang Zeng; Hanzhu Chen; Dong Li; Jianye Hao,Accept (Poster),Optimizer,"I: Fine-tuning, LoRA, privacy, and specialized post-training",,,,,,,Optimizer: Curvature-Guided Policy Optimization adds diagonal curvature regularization to multi-domain LLM reinforcement learning; a specialized post-training method.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=R2EZtdHWJT,https://iclr.cc/virtual/2026/poster/10009536,,https://openreview.net/pdf?id=R2EZtdHWJT,,2026-09-23,,,,,0
ICLR:10011765,ICLR 2026,10011765,Can Small Training Runs Reliably Guide Data Curation? Rethinking Proxy-Model Practice,,Jiachen (Tianhao) Wang; Tong Wu; Kaifeng Lyu; James Y Zou; Dawn Song; Ruoxi Jia; Prateek Mittal,Accept (Poster),Optimizer; Training dynamics,"H: Learning rates, batch sizes, parameterization, and plasticity; T1: Learning-rate selection, warm-up and schedules; T4: Compute, data and model scaling laws",,,,,,,Training dynamics: Shows small-model data rankings can flip with hyperparameters and studies reduced proxy rates as a more reliable comparison protocol.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=2FZC0c06jP,https://iclr.cc/virtual/2026/poster/10011765,,https://openreview.net/pdf?id=2FZC0c06jP,,2026-09-23,LLM training,Proxy learning rate; data recipe; tuning budget; scale,Shows small-model data rankings can flip with hyperparameters and studies reduced proxy rates as a more reliable comparison protocol.,A theoretical ordering result is for random-feature models; LLM reliability is empirically tested across recipes.,13
ICLR:10010773,ICLR 2026,10010773,CARE: Covariance-Aware and Rank-Enhanced Decomposition for Enabling Multi-Head Latent Attention,,Zhongzhu Zhou; Fengxiang Bie; Ziyan Chen; Zhenyu Zhang; Yibo Yang; Junxiong Wang; Ben Athiwaratkun; Xiaoxia (Shirley) Wu; Shuaiwen Song,Accept (Poster),Matrix computation,X6: Matrix and tensor methods for compression,Covariance-aware factors converting GQA to MLA,"Match activations with covariance-aware factorization, redistribute rank and reparameterize at a fixed KV budget.",Conversion may require a short recovery fine-tune; it changes the architecture.,Deep learning,,,"Matrix computation: Match activations with covariance-aware factorization, redistribute rank and reparameterize at a fixed KV budget.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=DVurf4kGag,https://iclr.cc/virtual/2026/poster/10010773,,https://openreview.net/pdf?id=DVurf4kGag,,2026-09-23,,,,,0
ICLR:10006480,ICLR 2026,10006480,Cautious Optimizers: Improving Training with One Line of Code,,Kaizhao Liang; Lizhang Chen; Bo Liu; Qiang Liu,Accept (Poster),Optimizer,"C: General-purpose matrix, spectral, adaptive, and learned optimizers",,,,,,,"Optimizer: Cautious optimizers apply a one-line modification to momentum-based update rules, including AdamW and Lion; evaluated on language-model pretraining and post-training.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=zBPZeRjfgu,https://iclr.cc/virtual/2026/poster/10006480,,https://openreview.net/pdf?id=zBPZeRjfgu,,2026-09-23,,,,,0
ICLR:10010446,ICLR 2026,10010446,Cautious Weight Decay,,Lizhang Chen; Jonathan Li; Kaizhao Liang; Baiyu Su; Cong Xie; Chen Liang; Ni Lao; Qiang Liu,Accept (Poster),Optimizer; Training dynamics,"C: General-purpose matrix, spectral, adaptive, and learned optimizers; T7: Initialization, normalization, weight decay and regularization",,,,,,,"Optimizer: Cautious Weight Decay applies decay only where parameter and optimizer-update signs agree; a drop-in modification tested with AdamW, Lion, and Muon in LM pretraining. | Training dynamics: Cautious Weight Decay applies decay only where parameter and optimizer-update signs agree; a drop-in modification tested with AdamW, Lion, and Muon in LM pretraining.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=Gwe6gbGng5,https://iclr.cc/virtual/2026/poster/10010446,,https://openreview.net/pdf?id=Gwe6gbGng5,,2026-09-23,LLM training,Weight-decay masking; update signs,"Cautious Weight Decay applies decay only where parameter and optimizer-update signs agree; a drop-in modification tested with AdamW, Lion, and Muon in LM pretraining.","Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0
ICLR:10008009,ICLR 2026,10008009,Celo2: Towards Learned Optimization Free Lunch,,Abhinav Moudgil; Boris Knyazev; Eugene Belilovsky,Accept (Poster),Optimizer,"C: General-purpose matrix, spectral, adaptive, and learned optimizers",,,,,,,Optimizer: Celo2 learns a normalized update rule with inexpensive meta-training and studies transfer to billion-parameter pretraining tasks.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=hxDB30LwVe,https://iclr.cc/virtual/2026/poster/10008009,,https://openreview.net/pdf?id=hxDB30LwVe,,2026-09-23,,,,,0
ICLR:10008523,ICLR 2026,10008523,Comparing the learning dynamics of in-context learning and fine-tuning in language models,,Basile Confavreux; Aaditya Singh; Jin Hwa Lee; Amaury Sabran; Andrew Saxe,Accept (Poster),Optimizer; Training dynamics,"G: Optimizer theory, benchmarks, and training dynamics; T6: Feature learning, implicit bias and generalization dynamics",,,,,,,Training dynamics: Compares how ICL and SFT change representations and inherited task priors.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=cJAtzOcAnd,https://iclr.cc/virtual/2026/poster/10008523,,https://openreview.net/pdf?id=cJAtzOcAnd,,2026-09-23,LLM training,In-context examples; fine-tuning; training stage,Compares how ICL and SFT change representations and inherited task priors.,The study uses medium-sized models and distinguishes activation adaptation from weight training.,0
ICLR:10008289,ICLR 2026,10008289,"Completed Hyperparameter Transfer across Modules, Width, Depth, Batch and Duration",,Bruno Mlodozeniec; Pierre Ablin; Louis Béthune; Dan Busbridge; Michal Klein; Jason Ramapuram; marco cuturi,Accept (Poster),Optimizer; Training dynamics,"H: Learning rates, batch sizes, parameterization, and plasticity; T1: Learning-rate selection, warm-up and schedules; T2: Batch size, gradient noise and training efficiency; T3: Width/depth scaling and hyperparameter transfer; T7: Initialization, normalization, weight decay and regularization",,,,,,,"Optimizer: Studies hyperparameter transfer across width, depth, modules, batch size, and training duration, including Adam parameters and weight decay in LLM training. | Training dynamics: Studies hyperparameter transfer across width, depth, modules, batch size, and training duration, including Adam parameters and weight decay in LLM training.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=elB9k4nTL1,https://iclr.cc/virtual/2026/poster/10008289,,https://openreview.net/pdf?id=elB9k4nTL1,,2026-09-23,LLM training,Modules; width; depth; batch size; duration; Adam betas; weight decay,"Studies hyperparameter transfer across width, depth, modules, batch size, and training duration, including Adam parameters and weight decay in LLM training.","Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",1
ICLR:10009552,ICLR 2026,10009552,Compute-Optimal Quantization-Aware Training,,Aleksandr Dremov; David Grangier; Angelos Katharopoulos; Awni Hannun,Accept (Poster),Optimizer; Training dynamics,"H: Learning rates, batch sizes, parameterization, and plasticity; T1: Learning-rate selection, warm-up and schedules; T4: Compute, data and model scaling laws; T7: Initialization, normalization, weight decay and regularization",,,,,,,Training dynamics: Models the optimal precision-training allocation and combines learning-rate cooldown with QAT.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=QpbtT95S95,https://iclr.cc/virtual/2026/poster/10009552,,https://openreview.net/pdf?id=QpbtT95S95,,2026-09-23,LLM training,QAT duration; FP/QAT compute split; bit width; cooldown,Models the optimal precision-training allocation and combines learning-rate cooldown with QAT.,"Optimal ratios depend on budget, precision and model size; fixed ratios need not transfer.",0
ICLR:10007694,ICLR 2026,10007694,"Converge Faster, Talk Less: Hessian-Informed Federated Zeroth-Order Optimization",,Zhe Li; Bicheng Ying; Zidong Liu; Chaosheng Dong; Haibo Yang,Accept (Poster),Optimizer,F: Zeroth-order and backpropagation alternatives for LLMs,,,,,,,Optimizer: HiSo uses global diagonal-Hessian approximations to accelerate federated zeroth-order LLM fine-tuning while retaining scalar-only communication.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=lJqssVKeR7,https://iclr.cc/virtual/2026/poster/10007694,,https://openreview.net/pdf?id=lJqssVKeR7,,2026-09-23,,,,,0
ICLR:10007695,ICLR 2026,10007695,Convergence of Muon with Newton-Schulz,,Gyu Yeol Kim; Min-hwan Oh,Accept (Poster),Optimizer,"G: Optimizer theory, benchmarks, and training dynamics",,,,,,,Optimizer: Proves convergence of practical Muon using finitely many Newton-Schulz iterations and quantifies the approximation gap to exact SVD-based polar updates.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=lJSfxtLpLm,https://iclr.cc/virtual/2026/poster/10007695,,https://openreview.net/pdf?id=lJSfxtLpLm,,2026-09-23,,,,,0
ICLR:10008408,ICLR 2026,10008408,Convex Dominance in Deep Learning I: A Scaling Law of Loss and Learning Rate,,Zhiqi Bu; Shiyun Xu; Jialin Mao,Accept (Poster),Optimizer; Training dynamics,"H: Learning rates, batch sizes, parameterization, and plasticity; T1: Learning-rate selection, warm-up and schedules; T4: Compute, data and model scaling laws",,,,,,,Optimizer: Models loss and optimal learning-rate scaling using approximately convex training dynamics across model sizes and training horizons. | Training dynamics: Models loss and optimal learning-rate scaling using approximately convex training dynamics across model sizes and training horizons.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=dSdLqg02tx,https://iclr.cc/virtual/2026/poster/10008408,,https://openreview.net/pdf?id=dSdLqg02tx,,2026-09-23,LLM training,Learning rate; model scale; training horizon,Models loss and optimal learning-rate scaling using approximately convex training dynamics across model sizes and training horizons.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0
ICLR:10006756,ICLR 2026,10006756,ConvT3: Structured State Kernels for Convolutional State Space Models,,Jaeyoung Hong; YunYoung Choi; Joohwan Ko; Minseon Gwak,Accept (Poster),Matrix computation,"X5: Attention, state-space algebra and parallel scans",Convolutional state-space updates with spatial kernels,Diagonalize structured tridiagonal Toeplitz tensors to parallelize extended spatial state kernels.,Exact structural reformulation for the constrained kernel family.,Deep learning,,,Matrix computation: Diagonalize structured tridiagonal Toeplitz tensors to parallelize extended spatial state kernels.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=w7csRoB5CO,https://iclr.cc/virtual/2026/poster/10006756,,https://openreview.net/pdf?id=w7csRoB5CO,,2026-09-23,,,,,0
ICLR:10007916,ICLR 2026,10007916,COSMOS: A Hybrid Adaptive Optimizer for Efficient Training of Large Language Models,,Liming Liu; Zhenghao Xu; Zixuan Zhang; Hao Kang; Zichong Li; Chen Liang; Weizhu Chen; Tuo Zhao,Accept (Poster),Optimizer,"C: General-purpose matrix, spectral, adaptive, and learned optimizers",,,,,,,"Optimizer: COSMOS applies SOAP in the leading gradient eigensubspace and Muon in the residual space, targeting memory-efficient LLM training.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=j2QTOOtM8R,https://iclr.cc/virtual/2026/poster/10007916,,https://openreview.net/pdf?id=j2QTOOtM8R,,2026-09-23,,,,,0
